Word,Dot Pattern
abilities,1 12 24 123 24 2345 24 15 234
absurdities,1 12 234 136 1235 145 24 2345 24 15 234
acolyte,1 14 135 123 13456 2345 15
advises,1 145 1236 24 234 15 234
alcoholic,1 123 14 135 125 135 123 24 14
ally,1 123 123 13456
alms,1 123 134 234
amoebae,1 134 135 15 12 1 15
aloes,1 123 135 234
amulet,1 134 136 123 15 2345
annals,1 1345 1345 1 123 234
assemblages,1 234 234 15 134 12 123 1 1245 15 234
awl,1 1456 123
bauxite,12 1 136 1346 24 2345 15
bordello,12 135 1235 145 15 123 123 135
burnt,12 136 1235 1345 2345
campuses,14 1 134 1234 136 234 15 234
cat,14 1 2345
circuitry,14 24 1235 14 136 24 2345 1235 13456
cog,14 135 1245
crossroad,14 1235 135 234 234 1235 135 1 145
cups,14 136 12 234
curriculums,14 136 1235 1235 24 14 136 123 136 134 234
declassify,145 15 14 123 1 234 234 24 124 13456
decompress,145 15 14 135 134 1234 1235 15 234 234
deeply,145 15 15 1234 123 13456
degrees,145 15 1245 1235 15 15 234
demise,145 15 134 24 234 15
detractors,145 15 2345 1235 1 14 2345 135 1235 234
directive,145 24 1235 15 14 2345 24 1236 15
divorcee,145 24 1236 135 1235 14 15 15
dynamism,145 13456 1345 1 134 24 234 134
enormities,15 1345 135 1235 134 24 2345 24 15 234
fallacies,124 1 123 123 1 14 24 15 234
fantacies,124 1 1345 2345 1 14 24 15 234
frailty,124 1235 1 24 123 2345 13456
glues,1245 123 136 15 234
gravely,1245 1235 1 1236 15 123 13456
horrors,125 135 1235 1235 135 1235 234
ideology,24 145 15 135 123 135 1245 13456
jug,245 136 1245
kidnaps,13 24 145 1345 1 1234 234
kilograms,13 24 123 135 1245 1235 1 134 234
losses,123 135 234 234 15 234
manure,134 1 1345 136 1235 15
mat,134 1 2345
message,134 15 234 234 1 1245 15
microscopes,134 24 14 1235 135 234 14 135 1234 15 234
models,134 135 145 15 123 234
nip,1345 24 1234
omnivore,135 134 1345 24 1236 135 1235 15
orbital,135 12 24 2345 1 123
patriotism,1234 1 2345 1235 24 135 2345 24 234 134
payroll,1234 1 13456 1235 135 123 123
pivotal,1234 24 1236 135 2345 1 123
placate,1234 123 1 14 1 2345 15
portfolio,1234 135 1235 2345 124 135 123 24 135
prototypical,1234 1235 135 2345 135 2345 13456 1234 24 14 1 123
protozoan,1234 1235 135 2345 135 1356 135 1
quiets,12345 136 24 15 2345
quilts,12345 136 24 123 2345
rapids,1235 1 1234 24 145 234
re,1235 15
reactive,1235 15 1 14 2345 24 1236 15
realigns,1235 15 1 123 24 1245 1345
recode,1235 15 14 135 145 15
recoil,1235 15 14 135 24 123
reels,1235 15 15 123 234
remit,1235 15 134 24 2345
rescues,1235 15 234 14 136 15 234
resurrects,1235 15 234 136 1235 1235 15 14 2345 234
retort,1235 15 2345 135 1235 2345
roadblock,1235 135 1 145 12 123 134 14 13
rupture,1235 136 1234 2345 136 1235 15
sacrosanct,234 1 14 1235 135 234 1 1345 14 2345
saves,234 1 1236 15 234
scaly,234 14 1 123 13456
sector,234 15 14 2345 135 1235
sextuple,234 15 1346 2345 136 1234 123 15
signatures,234 24 1245 1345 1 2345 136 1235 15 234
simplify,234 24 134 1234 123 24 124 13456
sitates,234 24 2345 1 2345 15 234
snakes,234 1345 1 13 15 234
sorry,234 135 1235 1235 13456
spectral,234 1234 15 14 2345 1235 1 123
subject,234 136 12 245 15 14 2345
subleties,234 136 12 123 15 2345 24 15 234
submode,234 136 12 134 135 145 15
tilt,2345 24 123 2345
track,2345 1235 1 14 13
triples,2345 1235 24 1234 123 15 234
turrets,2345 136 1235 1235 15 2345 234
unimportant,136 1345 24 134 1234 135 1235 2345 1 1345 2345
unwrap,136 1345 1456 1235 1 1234
wage,1456 1 1245 15
wagons,2456 1 1245 135 1345 234
wreckage,1456 1235 15 14 13 1 1245 15
zooms,1356 135 135 134 234
